title,price,area_sqm,bedrooms,bathrooms,property_type,furnishing,location,description,url,scraped_at,source,price_per_sqm,log_price,city
Villa in Cairo,9127568,400,6,5,Villa,Semi-furnished,Cairo,"Beautiful villa in Cairo. 6 bedrooms, 5 bathrooms, 400 sqm. Semi-furnished.",https://example.com/property/237,2026-05-04T18:39:28.476254,sample,22818.92,16.026809952056077,Cairo
Apartment in Giza,2003873,125,2,3,Apartment,Semi-furnished,Giza,"Beautiful apartment in Giza. 2 bedrooms, 3 bathrooms, 125 sqm. Semi-furnished.",https://example.com/property/238,2026-05-04T18:39:28.476257,sample,16030.984,14.510592864958728,Giza
Villa in Cairo,5731050,216,4,4,Villa,Unfurnished,Cairo,"Beautiful villa in Cairo. 4 bedrooms, 4 bathrooms, 216 sqm. Unfurnished.",https://example.com/property/239,2026-05-04T18:39:28.476261,sample,26532.63888888889,15.56140949246479,Cairo
Duplex in Alexandria,5408625,242,4,2,Duplex,Furnished,Alexandria,"Beautiful duplex in Alexandria. 4 bedrooms, 2 bathrooms, 242 sqm. Furnished.",https://example.com/property/240,2026-05-04T18:39:28.476264,sample,22349.69008264463,15.503505644443779,Alexandria
Studio in Giza,387356,56,0,1,Studio,Unfurnished,Giza,"Beautiful studio in Giza. 0 bedrooms, 1 bathrooms, 56 sqm. Unfurnished.",https://example.com/property/241,2026-05-04T18:39:28.476266,sample,6917.071428571428,12.867102027408313,Giza
Townhouse in Sheikh Zayed,2992176,258,3,2,Townhouse,Semi-furnished,Sheikh Zayed,"Beautiful townhouse in Sheikh Zayed. 3 bedrooms, 2 bathrooms, 258 sqm. Semi-furnished.",https://example.com/property/242,2026-05-04T18:39:28.476270,sample,11597.581395348838,14.911511774080765,Sheikh Zayed
Villa in Sheikh Zayed,6742574,341,5,3,Villa,Furnished,Sheikh Zayed,"Beautiful villa in Sheikh Zayed. 5 bedrooms, 3 bathrooms, 341 sqm. Furnished.",https://example.com/property/243,2026-05-04T18:39:28.476273,sample,19772.944281524928,15.72395245740468,Sheikh Zayed
Townhouse in 6th October,2883127,263,5,4,Townhouse,Unfurnished,6th October,"Beautiful townhouse in 6th October. 5 bedrooms, 4 bathrooms, 263 sqm. Unfurnished.",https://example.com/property/244,2026-05-04T18:39:28.476276,sample,10962.460076045627,14.874386373831292,6th October
Townhouse in Alexandria,4025205,294,5,6,Townhouse,Unfurnished,Alexandria,"Beautiful townhouse in Alexandria. 5 bedrooms, 6 bathrooms, 294 sqm. Unfurnished.",https://example.com/property/245,2026-05-04T18:39:28.476280,sample,13691.173469387755,15.208086647649367,Alexandria
Villa in Alexandria,7034502,395,6,7,Villa,Unfurnished,Alexandria,"Beautiful villa in Alexandria. 6 bedrooms, 7 bathrooms, 395 sqm. Unfurnished.",https://example.com/property/246,2026-05-04T18:39:28.476283,sample,17808.86582278481,15.766337599268857,Alexandria
Townhouse in Giza,2726267,255,2,3,Townhouse,Unfurnished,Giza,"Beautiful townhouse in Giza. 2 bedrooms, 3 bathrooms, 255 sqm. Unfurnished.",https://example.com/property/247,2026-05-04T18:39:28.476286,sample,10691.243137254902,14.818444198952108,Giza
Townhouse in Sheikh Zayed,2941935,201,3,1,Townhouse,Semi-furnished,Sheikh Zayed,"Beautiful townhouse in Sheikh Zayed. 3 bedrooms, 1 bathrooms, 201 sqm. Semi-furnished.",https://example.com/property/248,2026-05-04T18:39:28.476290,sample,14636.492537313432,14.894578425997995,Sheikh Zayed
Duplex in Cairo,4495852,238,4,5,Duplex,Furnished,Cairo,"Beautiful duplex in Cairo. 4 bedrooms, 5 bathrooms, 238 sqm. Furnished.",https://example.com/property/249,2026-05-04T18:39:28.476293,sample,18890.134453781513,15.31866597429161,Cairo
Studio in Giza,398107,35,0,1,Studio,Unfurnished,Giza,"Beautiful studio in Giza. 0 bedrooms, 1 bathrooms, 35 sqm. Unfurnished.",https://example.com/property/250,2026-05-04T18:39:28.476296,sample,11374.485714285714,12.894478604239902,Giza
Townhouse in New Cairo,4587735,200,4,5,Townhouse,Furnished,New Cairo,"Beautiful townhouse in New Cairo. 4 bedrooms, 5 bathrooms, 200 sqm. Furnished.",https://example.com/property/251,2026-05-04T18:39:28.476300,sample,22938.675,15.338897214163447,Cairo
Villa in Cairo,4558691,246,4,5,Villa,Furnished,Cairo,"Beautiful villa in Cairo. 4 bedrooms, 5 bathrooms, 246 sqm. Furnished.",https://example.com/property/252,2026-05-04T18:39:28.476303,sample,18531.264227642278,15.33254629823824,Cairo
Studio in Giza,501859,52,0,1,Studio,Semi-furnished,Giza,"Beautiful studio in Giza. 0 bedrooms, 1 bathrooms, 52 sqm. Semi-furnished.",https://example.com/property/253,2026-05-04T18:39:28.476305,sample,9651.134615384615,13.12607647531621,Giza
Apartment in New Cairo,2935192,199,4,2,Apartment,Unfurnished,New Cairo,"Beautiful apartment in New Cairo. 4 bedrooms, 2 bathrooms, 199 sqm. Unfurnished.",https://example.com/property/254,2026-05-04T18:39:28.476308,sample,14749.708542713568,14.892283767174359,Cairo
Villa in Giza,6349496,211,6,7,Villa,Semi-furnished,Giza,"Beautiful villa in Giza. 6 bedrooms, 7 bathrooms, 211 sqm. Semi-furnished.",https://example.com/property/255,2026-05-04T18:39:28.476312,sample,30092.3981042654,15.663886155132966,Giza
Apartment in Alexandria,1662556,94,3,4,Apartment,Semi-furnished,Alexandria,"Beautiful apartment in Alexandria. 3 bedrooms, 4 bathrooms, 94 sqm. Semi-furnished.",https://example.com/property/256,2026-05-04T18:39:28.476316,sample,17686.76595744681,14.32386733663869,Alexandria
Townhouse in Cairo,3508592,212,3,2,Townhouse,Semi-furnished,Cairo,"Beautiful townhouse in Cairo. 3 bedrooms, 2 bathrooms, 212 sqm. Semi-furnished.",https://example.com/property/257,2026-05-04T18:39:28.476319,sample,16549.962264150945,15.070725660377471,Cairo
Duplex in New Cairo,3465466,156,4,2,Duplex,Semi-furnished,New Cairo,"Beautiful duplex in New Cairo. 4 bedrooms, 2 bathrooms, 156 sqm. Semi-furnished.",https://example.com/property/258,2026-05-04T18:39:28.476322,sample,22214.52564102564,15.058357957859403,Cairo
Duplex in New Cairo,4531119,245,4,5,Duplex,Unfurnished,New Cairo,"Beautiful duplex in New Cairo. 4 bedrooms, 5 bathrooms, 245 sqm. Unfurnished.",https://example.com/property/259,2026-05-04T18:39:28.476326,sample,18494.36326530612,15.326479707518393,Cairo
Apartment in 6th October,1269318,85,3,3,Apartment,Semi-furnished,6th October,"Beautiful apartment in 6th October. 3 bedrooms, 3 bathrooms, 85 sqm. Semi-furnished.",https://example.com/property/260,2026-05-04T18:39:28.476329,sample,14933.152941176471,14.053991094144722,6th October
Townhouse in Sheikh Zayed,2587268,205,2,2,Townhouse,Unfurnished,Sheikh Zayed,"Beautiful townhouse in Sheikh Zayed. 2 bedrooms, 2 bathrooms, 205 sqm. Unfurnished.",https://example.com/property/261,2026-05-04T18:39:28.476332,sample,12620.819512195121,14.76611343720816,Sheikh Zayed
Studio in Giza,701848,55,0,1,Studio,Furnished,Giza,"Beautiful studio in Giza. 0 bedrooms, 1 bathrooms, 55 sqm. Furnished.",https://example.com/property/262,2026-05-04T18:39:28.476336,sample,12760.872727272726,13.461473560155587,Giza
Apartment in Giza,1533450,75,2,2,Apartment,Furnished,Giza,"Beautiful apartment in Giza. 2 bedrooms, 2 bathrooms, 75 sqm. Furnished.",https://example.com/property/263,2026-05-04T18:39:28.476340,sample,20446.0,14.243031308977352,Giza
Apartment in Sheikh Zayed,3069269,140,3,3,Apartment,Furnished,Sheikh Zayed,"Beautiful apartment in Sheikh Zayed. 3 bedrooms, 3 bathrooms, 140 sqm. Furnished.",https://example.com/property/264,2026-05-04T18:39:28.476343,sample,21923.35,14.936950306271754,Sheikh Zayed
Duplex in Alexandria,3690392,242,3,1,Duplex,Furnished,Alexandria,"Beautiful duplex in Alexandria. 3 bedrooms, 1 bathrooms, 242 sqm. Furnished.",https://example.com/property/265,2026-05-04T18:39:28.476347,sample,15249.553719008265,15.121243514410596,Alexandria
Townhouse in Alexandria,1972584,177,3,1,Townhouse,Unfurnished,Alexandria,"Beautiful townhouse in Alexandria. 3 bedrooms, 1 bathrooms, 177 sqm. Unfurnished.",https://example.com/property/266,2026-05-04T18:39:28.476351,sample,11144.542372881357,14.49485542329589,Alexandria
Villa in Sheikh Zayed,5662077,303,3,2,Villa,Unfurnished,Sheikh Zayed,"Beautiful villa in Sheikh Zayed. 3 bedrooms, 2 bathrooms, 303 sqm. Unfurnished.",https://example.com/property/267,2026-05-04T18:39:28.476355,sample,18686.72277227723,15.549301520609959,Sheikh Zayed
Studio in New Cairo,713966,60,0,1,Studio,Semi-furnished,New Cairo,"Beautiful studio in New Cairo. 0 bedrooms, 1 bathrooms, 60 sqm. Semi-furnished.",https://example.com/property/268,2026-05-04T18:39:28.476357,sample,11899.433333333332,13.47859202176622,Cairo
Duplex in Sheikh Zayed,4417913,243,3,2,Duplex,Semi-furnished,Sheikh Zayed,"Beautiful duplex in Sheikh Zayed. 3 bedrooms, 2 bathrooms, 243 sqm. Semi-furnished.",https://example.com/property/269,2026-05-04T18:39:28.476361,sample,18180.711934156378,15.3011781969511,Sheikh Zayed
Studio in Cairo,243441,31,0,1,Studio,Furnished,Cairo,"Beautiful studio in Cairo. 0 bedrooms, 1 bathrooms, 31 sqm. Furnished.",https://example.com/property/270,2026-05-04T18:39:28.476364,sample,7852.935483870968,12.402634000113839,Cairo
Studio in 6th October,388664,42,0,1,Studio,Semi-furnished,6th October,"Beautiful studio in 6th October. 0 bedrooms, 1 bathrooms, 42 sqm. Semi-furnished.",https://example.com/property/271,2026-05-04T18:39:28.476367,sample,9253.904761904761,12.870473069050606,6th October
Apartment in Alexandria,3003818,182,4,2,Apartment,Unfurnished,Alexandria,"Beautiful apartment in Alexandria. 4 bedrooms, 2 bathrooms, 182 sqm. Unfurnished.",https://example.com/property/272,2026-05-04T18:39:28.476370,sample,16504.494505494506,14.915395037054873,Alexandria
Duplex in Cairo,3029289,237,2,3,Duplex,Semi-furnished,Cairo,"Beautiful duplex in Cairo. 2 bedrooms, 3 bathrooms, 237 sqm. Semi-furnished.",https://example.com/property/273,2026-05-04T18:39:28.476374,sample,12781.810126582279,14.923838826595183,Cairo
Townhouse in Sheikh Zayed,3233713,238,4,2,Townhouse,Unfurnished,Sheikh Zayed,"Beautiful townhouse in Sheikh Zayed. 4 bedrooms, 2 bathrooms, 238 sqm. Unfurnished.",https://example.com/property/274,2026-05-04T18:39:28.476377,sample,13587.029411764706,14.989141879834401,Sheikh Zayed
Apartment in Alexandria,2140435,181,2,1,Apartment,Unfurnished,Alexandria,"Beautiful apartment in Alexandria. 2 bedrooms, 1 bathrooms, 181 sqm. Unfurnished.",https://example.com/property/275,2026-05-04T18:39:28.476381,sample,11825.60773480663,14.57652010456396,Alexandria
Duplex in New Cairo,2568475,103,2,3,Duplex,Semi-furnished,New Cairo,"Beautiful duplex in New Cairo. 2 bedrooms, 3 bathrooms, 103 sqm. Semi-furnished.",https://example.com/property/276,2026-05-04T18:39:28.476384,sample,24936.650485436894,14.758823284870722,Cairo
Studio in Cairo,372490,43,0,1,Studio,Semi-furnished,Cairo,"Beautiful studio in Cairo. 0 bedrooms, 1 bathrooms, 43 sqm. Semi-furnished.",https://example.com/property/277,2026-05-04T18:39:28.476386,sample,8662.558139534884,12.827968155436043,Cairo
Studio in 6th October,538884,46,0,1,Studio,Furnished,6th October,"Beautiful studio in 6th October. 0 bedrooms, 1 bathrooms, 46 sqm. Furnished.",https://example.com/property/278,2026-05-04T18:39:28.476389,sample,11714.869565217392,13.197257469056563,6th October
Villa in Giza,5300775,226,4,3,Villa,Semi-furnished,Giza,"Beautiful villa in Giza. 4 bedrooms, 3 bathrooms, 226 sqm. Semi-furnished.",https://example.com/property/279,2026-05-04T18:39:28.476392,sample,23454.756637168142,15.483363782899046,Giza
Apartment in 6th October,1989720,103,4,4,Apartment,Semi-furnished,6th October,"Beautiful apartment in 6th October. 4 bedrooms, 4 bathrooms, 103 sqm. Semi-furnished.",https://example.com/property/280,2026-05-04T18:39:28.476395,sample,19317.66990291262,14.50350498586657,6th October
Duplex in Alexandria,4635844,249,2,2,Duplex,Semi-furnished,Alexandria,"Beautiful duplex in Alexandria. 2 bedrooms, 2 bathrooms, 249 sqm. Semi-furnished.",https://example.com/property/281,2026-05-04T18:39:28.476399,sample,18617.847389558232,15.349329048888027,Alexandria
Villa in Giza,4369858,151,3,4,Villa,Furnished,Giza,"Beautiful villa in Giza. 3 bedrooms, 4 bathrooms, 151 sqm. Furnished.",https://example.com/property/282,2026-05-04T18:39:28.476402,sample,28939.456953642384,15.290241301105008,Giza
Studio in Giza,340140,53,0,1,Studio,Semi-furnished,Giza,"Beautiful studio in Giza. 0 bedrooms, 1 bathrooms, 53 sqm. Semi-furnished.",https://example.com/property/283,2026-05-04T18:39:28.476404,sample,6417.735849056604,12.737115516507979,Giza
Studio in New Cairo,452776,33,0,1,Studio,Semi-furnished,New Cairo,"Beautiful studio in New Cairo. 0 bedrooms, 1 bathrooms, 33 sqm. Semi-furnished.",https://example.com/property/284,2026-05-04T18:39:28.476407,sample,13720.484848484848,13.023155009527994,Cairo
Townhouse in Sheikh Zayed,3183883,193,4,4,Townhouse,Unfurnished,Sheikh Zayed,"Beautiful townhouse in Sheikh Zayed. 4 bedrooms, 4 bathrooms, 193 sqm. Unfurnished.",https://example.com/property/285,2026-05-04T18:39:28.476411,sample,16496.80310880829,14.97361239312194,Sheikh Zayed
Townhouse in Giza,3918206,257,4,4,Townhouse,Semi-furnished,Giza,"Beautiful townhouse in Giza. 4 bedrooms, 4 bathrooms, 257 sqm. Semi-furnished.",https://example.com/property/286,2026-05-04T18:39:28.476414,sample,15245.937743190661,15.181144709169105,Giza
Studio in 6th October,337072,41,0,1,Studio,Unfurnished,6th October,"Beautiful studio in 6th October. 0 bedrooms, 1 bathrooms, 41 sqm. Unfurnished.",https://example.com/property/287,2026-05-04T18:39:28.476417,sample,8221.268292682927,12.72805480308706,6th October
Apartment in Giza,1971048,69,4,3,Apartment,Semi-furnished,Giza,"Beautiful apartment in Giza. 4 bedrooms, 3 bathrooms, 69 sqm. Semi-furnished.",https://example.com/property/288,2026-05-04T18:39:28.476420,sample,28565.91304347826,14.494076446302756,Giza
Apartment in Giza,2566771,126,4,5,Apartment,Semi-furnished,Giza,"Beautiful apartment in Giza. 4 bedrooms, 5 bathrooms, 126 sqm. Semi-furnished.",https://example.com/property/289,2026-05-04T18:39:28.476423,sample,20371.198412698413,14.758159636274767,Giza
Villa in New Cairo,6398255,179,5,6,Villa,Furnished,New Cairo,"Beautiful villa in New Cairo. 5 bedrooms, 6 bathrooms, 179 sqm. Furnished.",https://example.com/property/290,2026-05-04T18:39:28.476427,sample,35744.44134078212,15.671536011195029,Cairo
Studio in Sheikh Zayed,537912,56,0,1,Studio,Furnished,Sheikh Zayed,"Beautiful studio in Sheikh Zayed. 0 bedrooms, 1 bathrooms, 56 sqm. Furnished.",https://example.com/property/291,2026-05-04T18:39:28.476429,sample,9605.57142857143,13.19545211603027,Sheikh Zayed
Duplex in Cairo,2596583,204,3,2,Duplex,Unfurnished,Cairo,"Beautiful duplex in Cairo. 3 bedrooms, 2 bathrooms, 204 sqm. Unfurnished.",https://example.com/property/292,2026-05-04T18:39:28.476433,sample,12728.348039215687,14.769707292985277,Cairo
Townhouse in New Cairo,3696891,230,2,2,Townhouse,Semi-furnished,New Cairo,"Beautiful townhouse in New Cairo. 2 bedrooms, 2 bathrooms, 230 sqm. Semi-furnished.",https://example.com/property/293,2026-05-04T18:39:28.476436,sample,16073.439130434783,15.12300302461676,Cairo
Duplex in Alexandria,2576768,115,4,2,Duplex,Furnished,Alexandria,"Beautiful duplex in Alexandria. 4 bedrooms, 2 bathrooms, 115 sqm. Furnished.",https://example.com/property/294,2026-05-04T18:39:28.476439,sample,22406.678260869565,14.762046846501427,Alexandria
Studio in 6th October,367563,48,0,1,Studio,Semi-furnished,6th October,"Beautiful studio in 6th October. 0 bedrooms, 1 bathrooms, 48 sqm. Semi-furnished.",https://example.com/property/295,2026-05-04T18:39:28.476442,sample,7657.5625,12.8146527321326,6th October
Studio in New Cairo,465218,33,0,1,Studio,Furnished,New Cairo,"Beautiful studio in New Cairo. 0 bedrooms, 1 bathrooms, 33 sqm. Furnished.",https://example.com/property/296,2026-05-04T18:39:28.476446,sample,14097.515151515152,13.050263541440932,Cairo
Studio in New Cairo,575883,41,0,1,Studio,Semi-furnished,New Cairo,"Beautiful studio in New Cairo. 0 bedrooms, 1 bathrooms, 41 sqm. Semi-furnished.",https://example.com/property/297,2026-05-04T18:39:28.476449,sample,14045.926829268292,13.263661530507674,Cairo
Villa in Alexandria,8192280,326,6,6,Villa,Semi-furnished,Alexandria,"Beautiful villa in Alexandria. 6 bedrooms, 6 bathrooms, 326 sqm. Semi-furnished.",https://example.com/property/298,2026-05-04T18:39:28.476453,sample,25129.693251533743,15.918702927430946,Alexandria
Townhouse in Sheikh Zayed,4034363,220,4,5,Townhouse,Furnished,Sheikh Zayed,"Beautiful townhouse in Sheikh Zayed. 4 bedrooms, 5 bathrooms, 220 sqm. Furnished.",https://example.com/property/299,2026-05-04T18:39:28.476456,sample,18338.013636363637,15.210359226444876,Sheikh Zayed
Townhouse in Giza,2292150,181,4,2,Townhouse,Semi-furnished,Giza,"Beautiful townhouse in Giza. 4 bedrooms, 2 bathrooms, 181 sqm. Semi-furnished.",https://example.com/property/300,2026-05-04T18:39:28.476459,sample,12663.812154696132,14.64500123597304,Giza
Duplex in Sheikh Zayed,4706404,210,4,5,Duplex,Furnished,Sheikh Zayed,"Beautiful duplex in Sheikh Zayed. 4 bedrooms, 5 bathrooms, 210 sqm. Furnished.",https://example.com/property/301,2026-05-04T18:39:28.476463,sample,22411.44761904762,15.364434904914956,Sheikh Zayed
Townhouse in Giza,2550850,205,5,4,Townhouse,Unfurnished,Giza,"Beautiful townhouse in Giza. 5 bedrooms, 4 bathrooms, 205 sqm. Unfurnished.",https://example.com/property/302,2026-05-04T18:39:28.476467,sample,12443.170731707318,14.75193758695084,Giza
Villa in Cairo,7298870,305,5,4,Villa,Furnished,Cairo,"Beautiful villa in Cairo. 5 bedrooms, 4 bathrooms, 305 sqm. Furnished.",https://example.com/property/303,2026-05-04T18:39:28.476470,sample,23930.72131147541,15.803230236623664,Cairo
Studio in Alexandria,622396,57,0,1,Studio,Semi-furnished,Alexandria,"Beautiful studio in Alexandria. 0 bedrooms, 1 bathrooms, 57 sqm. Semi-furnished.",https://example.com/property/304,2026-05-04T18:39:28.476472,sample,10919.228070175439,13.341333431783289,Alexandria
Townhouse in Cairo,2785210,206,2,2,Townhouse,Furnished,Cairo,"Beautiful townhouse in Cairo. 2 bedrooms, 2 bathrooms, 206 sqm. Furnished.",https://example.com/property/305,2026-05-04T18:39:28.476476,sample,13520.436893203883,14.839834191489807,Cairo
Villa in Sheikh Zayed,8558994,358,5,4,Villa,Semi-furnished,Sheikh Zayed,"Beautiful villa in Sheikh Zayed. 5 bedrooms, 4 bathrooms, 358 sqm. Semi-furnished.",https://example.com/property/306,2026-05-04T18:39:28.476479,sample,23907.804469273742,15.962493334683181,Sheikh Zayed
Apartment in Sheikh Zayed,2386579,177,2,1,Apartment,Unfurnished,Sheikh Zayed,"Beautiful apartment in Sheikh Zayed. 2 bedrooms, 1 bathrooms, 177 sqm. Unfurnished.",https://example.com/property/307,2026-05-04T18:39:28.476482,sample,13483.497175141243,14.685371936760228,Sheikh Zayed
Studio in Giza,668816,56,0,1,Studio,Furnished,Giza,"Beautiful studio in Giza. 0 bedrooms, 1 bathrooms, 56 sqm. Furnished.",https://example.com/property/308,2026-05-04T18:39:28.476485,sample,11943.142857142857,13.413265759089867,Giza
Apartment in Alexandria,1892716,122,1,2,Apartment,Furnished,Alexandria,"Beautiful apartment in Alexandria. 1 bedrooms, 2 bathrooms, 122 sqm. Furnished.",https://example.com/property/309,2026-05-04T18:39:28.476489,sample,15514.065573770491,14.453523920864415,Alexandria
Duplex in 6th October,1329450,106,3,1,Duplex,Semi-furnished,6th October,"Beautiful duplex in 6th October. 3 bedrooms, 1 bathrooms, 106 sqm. Semi-furnished.",https://example.com/property/310,2026-05-04T18:39:28.476492,sample,12541.981132075472,14.100276633025127,6th October
Villa in Alexandria,5921192,267,6,4,Villa,Semi-furnished,Alexandria,"Beautiful villa in Alexandria. 6 bedrooms, 4 bathrooms, 267 sqm. Semi-furnished.",https://example.com/property/311,2026-05-04T18:39:28.476495,sample,22176.749063670413,15.594048506827976,Alexandria
Apartment in Giza,1650677,100,4,2,Apartment,Unfurnished,Giza,"Beautiful apartment in Giza. 4 bedrooms, 2 bathrooms, 100 sqm. Unfurnished.",https://example.com/property/312,2026-05-04T18:39:28.476498,sample,16506.77,14.316696670567651,Giza
Duplex in Cairo,3430732,139,4,4,Duplex,Furnished,Cairo,"Beautiful duplex in Cairo. 4 bedrooms, 4 bathrooms, 139 sqm. Furnished.",https://example.com/property/313,2026-05-04T18:39:28.476501,sample,24681.525179856115,15.048284498934876,Cairo
Apartment in New Cairo,2424908,76,4,5,Apartment,Furnished,New Cairo,"Beautiful apartment in New Cairo. 4 bedrooms, 5 bathrooms, 76 sqm. Furnished.",https://example.com/property/314,2026-05-04T18:39:28.476505,sample,31906.684210526317,14.701304555876415,Cairo
Villa in Sheikh Zayed,5748779,167,5,6,Villa,Furnished,Sheikh Zayed,"Beautiful villa in Sheikh Zayed. 5 bedrooms, 6 bathrooms, 167 sqm. Furnished.",https://example.com/property/315,2026-05-04T18:39:28.476509,sample,34423.82634730539,15.56449821634842,Sheikh Zayed
Villa in 6th October,4769847,242,6,5,Villa,Semi-furnished,6th October,"Beautiful villa in 6th October. 6 bedrooms, 5 bathrooms, 242 sqm. Semi-furnished.",https://example.com/property/316,2026-05-04T18:39:28.476512,sample,19710.111570247933,15.377824996528705,6th October
Villa in 6th October,3332889,151,5,4,Villa,Unfurnished,6th October,"Beautiful villa in 6th October. 5 bedrooms, 4 bathrooms, 151 sqm. Unfurnished.",https://example.com/property/317,2026-05-04T18:39:28.476515,sample,22072.112582781458,15.019350353444926,6th October
Villa in New Cairo,7355577,343,5,6,Villa,Unfurnished,New Cairo,"Beautiful villa in New Cairo. 5 bedrooms, 6 bathrooms, 343 sqm. Unfurnished.",https://example.com/property/318,2026-05-04T18:39:28.476518,sample,21444.830903790087,15.810969494925878,Cairo
Villa in Alexandria,7202717,262,6,4,Villa,Semi-furnished,Alexandria,"Beautiful villa in Alexandria. 6 bedrooms, 4 bathrooms, 262 sqm. Semi-furnished.",https://example.com/property/319,2026-05-04T18:39:28.476521,sample,27491.286259541987,15.789969012751087,Alexandria
Duplex in Alexandria,2497569,226,2,2,Duplex,Semi-furnished,Alexandria,"Beautiful duplex in Alexandria. 2 bedrooms, 2 bathrooms, 226 sqm. Semi-furnished.",https://example.com/property/320,2026-05-04T18:39:28.476524,sample,11051.190265486726,14.730828817140095,Alexandria
Villa in Cairo,4052568,183,5,5,Villa,Semi-furnished,Cairo,"Beautiful villa in Cairo. 5 bedrooms, 5 bathrooms, 183 sqm. Semi-furnished.",https://example.com/property/321,2026-05-04T18:39:28.476528,sample,22145.180327868853,15.214861558973855,Cairo
Duplex in Cairo,3697913,234,2,2,Duplex,Unfurnished,Cairo,"Beautiful duplex in Cairo. 2 bedrooms, 2 bathrooms, 234 sqm. Unfurnished.",https://example.com/property/322,2026-05-04T18:39:28.476532,sample,15803.047008547008,15.123279434844832,Cairo
Villa in 6th October,5233320,273,3,2,Villa,Furnished,6th October,"Beautiful villa in 6th October. 3 bedrooms, 2 bathrooms, 273 sqm. Furnished.",https://example.com/property/323,2026-05-04T18:39:28.476536,sample,19169.67032967033,15.470556624959752,6th October
Villa in Sheikh Zayed,7061841,278,4,2,Villa,Semi-furnished,Sheikh Zayed,"Beautiful villa in Sheikh Zayed. 4 bedrooms, 2 bathrooms, 278 sqm. Semi-furnished.",https://example.com/property/324,2026-05-04T18:39:28.476539,sample,25402.305755395682,15.770216481954819,Sheikh Zayed
Townhouse in Sheikh Zayed,2682474,137,2,3,Townhouse,Semi-furnished,Sheikh Zayed,"Beautiful townhouse in Sheikh Zayed. 2 bedrooms, 3 bathrooms, 137 sqm. Semi-furnished.",https://example.com/property/325,2026-05-04T18:39:28.476543,sample,19580.10218978102,14.80225043377907,Sheikh Zayed
Duplex in 6th October,2124198,135,4,5,Duplex,Semi-furnished,6th October,"Beautiful duplex in 6th October. 4 bedrooms, 5 bathrooms, 135 sqm. Semi-furnished.",https://example.com/property/326,2026-05-04T18:39:28.476546,sample,15734.8,14.568905348104002,6th October
Studio in Sheikh Zayed,584192,57,0,1,Studio,Furnished,Sheikh Zayed,"Beautiful studio in Sheikh Zayed. 0 bedrooms, 1 bathrooms, 57 sqm. Furnished.",https://example.com/property/327,2026-05-04T18:39:28.476549,sample,10248.982456140351,13.277986686666113,Sheikh Zayed
Studio in New Cairo,522541,55,0,1,Studio,Furnished,New Cairo,"Beautiful studio in New Cairo. 0 bedrooms, 1 bathrooms, 55 sqm. Furnished.",https://example.com/property/328,2026-05-04T18:39:28.476552,sample,9500.745454545455,13.166460642365701,Cairo
Studio in Cairo,407350,43,0,1,Studio,Unfurnished,Cairo,"Beautiful studio in Cairo. 0 bedrooms, 1 bathrooms, 43 sqm. Unfurnished.",https://example.com/property/329,2026-05-04T18:39:28.476554,sample,9473.255813953489,12.917430500627146,Cairo
Villa in Alexandria,9047946,353,5,4,Villa,Unfurnished,Alexandria,"Beautiful villa in Alexandria. 5 bedrooms, 4 bathrooms, 353 sqm. Unfurnished.",https://example.com/property/330,2026-05-04T18:39:28.476557,sample,25631.57507082153,16.01804843911284,Alexandria
Studio in 6th October,420352,47,0,1,Studio,Unfurnished,6th October,"Beautiful studio in 6th October. 0 bedrooms, 1 bathrooms, 47 sqm. Unfurnished.",https://example.com/property/331,2026-05-04T18:39:28.476565,sample,8943.659574468085,12.948850113447694,6th October
Studio in 6th October,273536,31,0,1,Studio,Furnished,6th October,"Beautiful studio in 6th October. 0 bedrooms, 1 bathrooms, 31 sqm. Furnished.",https://example.com/property/332,2026-05-04T18:39:28.476567,sample,8823.741935483871,12.519192175058006,6th October
Duplex in 6th October,3768408,223,2,3,Duplex,Semi-furnished,6th October,"Beautiful duplex in 6th October. 2 bedrooms, 3 bathrooms, 223 sqm. Semi-furnished.",https://example.com/property/333,2026-05-04T18:39:28.476570,sample,16898.69058295964,15.142163454435297,6th October
Villa in Alexandria,8975336,349,6,5,Villa,Semi-furnished,Alexandria,"Beautiful villa in Alexandria. 6 bedrooms, 5 bathrooms, 349 sqm. Semi-furnished.",https://example.com/property/334,2026-05-04T18:39:28.476573,sample,25717.29512893983,16.0099910403802,Alexandria
Duplex in Sheikh Zayed,3827456,174,3,4,Duplex,Unfurnished,Sheikh Zayed,"Beautiful duplex in Sheikh Zayed. 3 bedrooms, 4 bathrooms, 174 sqm. Unfurnished.",https://example.com/property/335,2026-05-04T18:39:28.476578,sample,21996.873563218393,15.157711171963605,Sheikh Zayed
Duplex in Cairo,2737032,146,3,4,Duplex,Unfurnished,Cairo,"Beautiful duplex in Cairo. 3 bedrooms, 4 bathrooms, 146 sqm. Unfurnished.",https://example.com/property/336,2026-05-04T18:39:28.476581,sample,18746.794520547945,14.822385044946843,Cairo
Studio in 6th October,476327,60,0,1,Studio,Semi-furnished,6th October,"Beautiful studio in 6th October. 0 bedrooms, 1 bathrooms, 60 sqm. Semi-furnished.",https://example.com/property/337,2026-05-04T18:39:28.476584,sample,7938.783333333334,13.073861971540204,6th October
